Регион;2013;2014;2015;2016;2017;2018;2019
Белгородская область;0,854;0,857;0,859;0,863;0,874;0,877;0,882
Брянская область;0,796;0,796;0,803;0,809;0,816;0,822;0,83
Владимирская область;0,8;0,8;0,806;0,812;0,821;0,825;0,835
Воронежская область;0,827;0,832;0,837;0,836;0,848;0,853;0,859
Ивановская область;0,786;0,78;0,79;0,793;0,801;0,805;0,812
Калужская область;0,823;0,823;0,825;0,832;0,844;0,851;0,858
Костромская область;0,807;0,81;0,81;0,81;0,82;0,826;0,83
Курская область;0,831;0,837;0,84;0,837;0,846;0,851;0,856
Липецкая область;0,828;0,838;0,842;0,844;0,854;0,861;0,862
Московская область;0,824;0,827;0,837;0,846;0,855;0,86;0,866
Орловская область;0,821;0,819;0,826;0,827;0,838;0,841;0,85
Рязанская область;0,82;0,821;0,826;0,83;0,842;0,844;0,849
Смоленская область;0,808;0,807;0,806;0,808;0,823;0,826;0,834
Тамбовская область;0,814;0,824;0,828;0,829;0,837;0,842;0,846
Тверская область;0,796;0,8;0,801;0,807;0,821;0,827;0,833
Тульская область;0,805;0,814;0,82;0,825;0,836;0,845;0,849
Ярославская область;0,832;0,833;0,836;0,836;0,847;0,852;0,858
Москва;0,916;0,918;0,917;0,92;0,931;0,936;0,94
Республика Карелия;0,813;0,817;0,813;0,819;0,829;0,834;0,841
Республика Коми;0,848;0,847;0,847;0,845;0,859;0,864;0,866
Ненецкий автономный округ;0,844;0,884;0,886;0,888;0,903;0,892;0,899
Архангельская область;0,816;0,82;0,823;0,823;0,825;0,842;0,843
Вологодская область;0,816;0,821;0,83;0,827;0,838;0,846;0,85
Калининградская область;0,819;0,821;0,823;0,834;0,844;0,85;0,855
Ленинградская область;0,809;0,808;0,818;0,823;0,831;0,84;0,845
Мурманская область;0,825;0,825;0,829;0,832;0,839;0,842;0,849
Новгородская область;0,81;0,823;0,825;0,825;0,829;0,831;0,835
Псковская область;0,78;0,782;0,784;0,791;0,8;0,805;0,813
Санкт-Петербург;0,886;0,886;0,896;0,901;0,906;0,913;0,918
Республика Адыгея;0,802;0,8;0,798;0,803;0,815;0,823;0,828
Республика Калмыкия;0,79;0,8;0,8;0,821;0,83;0,835;0,842
Республика Крым;0;0;0,778;0,789;0,801;0,806;0,813
Краснодарский край;0,837;0,835;0,834;0,839;0,85;0,856;0,855
Астраханская область;0,834;0,833;0,834;0,837;0,854;0,869;0,874
Волгоградская область;0,82;0,827;0,825;0,829;0,84;0,844;0,848
Ростовская область;0,813;0,815;0,822;0,828;0,839;0,845;0,85
Севастополь;0;0;0,776;0,803;0,819;0,829;0,832
Республика Дагестан;0,802;0,807;0,805;0,808;0,814;0,821;0,827
Республика Ингушетия;0,796;0,802;0,789;0,794;0,803;0,813;0,82
Кабардино-Балкарская Республика;0,782;0,785;0,781;0,793;0,8;0,807;0,811
Карачаево-Черкесская Республика;0,791;0,785;0,784;0,787;0,798;0,804;0,81
Республика Северная Осетия-Алания;0,816;0,815;0,809;0,818;0,825;0,827;0,832
Чеченская Республика;0,767;0,774;0,765;0,776;0,785;0,788;0,793
Ставропольский край;0,8;0,803;0,809;0,811;0,82;0,824;0,828
Республика Башкортостан;0,824;0,823;0,822;0,826;0,834;0,844;0,848
Республика Марий Эл;0,8;0,803;0,81;0,81;0,823;0,823;0,83
Республика Мордовия;0,807;0,817;0,818;0,824;0,836;0,839;0,844
Республика Татарстан;0,858;0,859;0,866;0,871;0,882;0,89;0,897
Удмуртская Республика;0,827;0,83;0,835;0,836;0,847;0,855;0,859
Чувашская Республика;0,809;0,807;0,809;0,811;0,823;0,827;0,835
Пермский край;0,825;0,829;0,829;0,831;0,843;0,849;0,854
Кировская область;0,801;0,809;0,813;0,816;0,827;0,827;0,832
Нижегородская область;0,818;0,819;0,823;0,83;0,843;0,846;0,854
Оренбургская область;0,833;0,83;0,832;0,836;0,843;0,855;0,86
Пензенская область;0,815;0,817;0,82;0,821;0,83;0,835;0,843
Самарская область;0,826;0,83;0,836;0,841;0,852;0,862;0,866
Саратовская область;0,817;0,818;0,821;0,826;0,836;0,84;0,844
Ульяновская область;0,81;0,81;0,811;0,818;0,829;0,83;0,839
Курганская область;0,798;0,798;0,796;0,797;0,811;0,81;0,815
Свердловская область;0,837;0,839;0,839;0,842;0,856;0,86;0,864
Ханты-Мансийский автономный округ;0,894;0,897;0,898;0,905;0,91;0,91;0,914
Ямало-Ненецкий автономный округ;0,884;0,89;0,888;0,89;0,907;0,901;0,902
Тюменская область;0,871;0,867;0,869;0,87;0,863;0,891;0,891
Челябинская область;0,818;0,824;0,829;0,833;0,846;0,849;0,852
Республика Алтай;0,776;0,783;0,781;0,789;0,796;0,799;0,8
Республика Тыва;0,734;0,738;0,741;0,752;0,771;0,778;0,787
Республика Хакасия;0,808;0,811;0,808;0,818;0,828;0,838;0,839
Алтайский край;0,8;0,802;0,803;0,802;0,808;0,811;0,815
Красноярский край;0,834;0,84;0,846;0,847;0,858;0,867;0,873
Иркутская область;0,813;0,821;0,823;0,829;0,843;0,849;0,852
Кемеровская область;0,805;0,809;0,813;0,813;0,829;0,834;0,828
Новосибирская область;0,828;0,832;0,838;0,839;0,85;0,856;0,862
Омская область;0,833;0,836;0,836;0,838;0,847;0,852;0,855
Томская область;0,84;0,845;0,852;0,856;0,865;0,874;0,871
Республика Бурятия;0,786;0,793;0,796;0,795;0,802;0,807;0,81
Республика Саха;0,837;0,848;0,853;0,859;0,868;0,882;0,886
Забайкальский край;0,789;0,79;0,785;0,789;0,803;0,803;0,804
Камчатский край;0,8;0,804;0,806;0,814;0,826;0,834;0,838
Приморский край;0,798;0,804;0,809;0,82;0,828;0,832;0,836
Хабаровский край;0,808;0,812;0,816;0,822;0,831;0,84;0,839
Амурская область;0,787;0,794;0,799;0,805;0,812;0,816;0,822
Магаданская область;0,83;0,831;0,846;0,854;0,859;0,866;0,871
Сахалинская область;0,861;0,869;0,874;0,867;0,881;0,886;0,889
Еврейская автономная область;0,758;0,764;0,762;0,766;0,793;0,791;0,788
Чукотский автономный округ;0,797;0,812;0,823;0,82;0,833;0,814;0,846
